sample_name	archive	member	size_bytes	md5
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_12.pod5	467883064	1040dcbf422834016b9cce6c4bfb9de0
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_13.pod5	443360744	2e60fe19363b8215e2fcd6f882f1eefb
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_14.pod5	423448008	05f983d030f95e00289f71e8bb1c2912
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_15.pod5	458907672	4b4b9f079f6853cfef6e982f7f8ca83e
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_16.pod5	453514512	570a26467b05d972a7e2d7522133f9df
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_17.pod5	474023064	cb277aa93c5bf2cb469595c215f04991
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_18.pod5	352118168	3fd38d0c9fcfbba79d637cadb09ff951
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_19.pod5	457094960	0f4f8bc9b597d4880459cb8b47281b8e
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_2.pod5	497820952	fd325e28a5c4f29356d6ad8aa9366416
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_20.pod5	414032200	76890ca1aab2c046f82de4b52ebf1185
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_21.pod5	433522952	59208b560ec049704e6c9920d5a7dbcc
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_22.pod5	440647336	30bbd2cc3114db015e353a022baf6eab
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_23.pod5	393781432	ada63723cec02ac37a43f9a07cecebdc
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_24.pod5	455607816	6088ae4dfceafe3e040cdc5b0a56b2a2
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_25.pod5	380131984	d7c32a3bffad4239875575396b5ae2bb
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_26.pod5	404873480	5ff1f1a654aca95093ad77d8fbd74eec
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_27.pod5	123406800	3498fc2364c39c2a37c1d52bc21792e3
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_3.pod5	418734528	1bac211446a668a8599249c15aa75286
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_4.pod5	429897184	4acfccc285a132518f0745f946fd6d93
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_5.pod5	506490504	f90b75df81f0b8599576b1bdeb6beeb7
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_6.pod5	438208952	8903c0ee01fbb628f84fe1e9fa0411ca
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_7.pod5	462100896	0e12eee356d85856a872f05ff4c7f140
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_8.pod5	465374128	dacc839e11bdfcdb08b10f477c011964
