SCO_ID	cistron_id	regulator_flag	source
SCO3202	cistron2230	1	CastroMelchor_2010
SCO3205	cistron2233	1	CastroMelchor_2010
SCO3209	cistron2237	1	CastroMelchor_2010
SCO3217	cistron2240	1	CastroMelchor_2010
SCO3225	cistron2243	1	CastroMelchor_2010
SCO3226	cistron2243	1	CastroMelchor_2010
SCO3263	cistron2252	1	CastroMelchor_2010
SCO3264	cistron2252	1	CastroMelchor_2010
SCO3265	cistron2252	1	CastroMelchor_2010
SCO3266	cistron2252	1	CastroMelchor_2010
SCO3269	cistron2255	1	CastroMelchor_2010
SCO3272	cistron2258	1	CastroMelchor_2010
SCO3275	cistron2260	1	CastroMelchor_2010
SCO3291	cistron2270	1	CastroMelchor_2010
SCO3308	cistron2283	1	CastroMelchor_2010
SCO3315	cistron2290	1	CastroMelchor_2010
SCO3323	cistron2295	1	CastroMelchor_2010
SCO3324	cistron2295	1	CastroMelchor_2010
SCO3335	cistron2304	1	CastroMelchor_2010
SCO3344	cistron2312	1	CastroMelchor_2010
SCO3346	cistron2314	1	CastroMelchor_2010
SCO3347	cistron2314	1	CastroMelchor_2010
SCO3348	cistron2314	1	CastroMelchor_2010
SCO3351	cistron2317	1	CastroMelchor_2010
SCO3352	cistron2317	1	CastroMelchor_2010
SCO3356	cistron2321	1	CastroMelchor_2010
SCO3357	cistron2321	1	CastroMelchor_2010
SCO3358	cistron2322	1	CastroMelchor_2010
SCO3359	cistron2322	1	CastroMelchor_2010
SCO3367	cistron2328	1	CastroMelchor_2010
SCO3390	cistron2344	1	CastroMelchor_2010
SCO3413	cistron2362	1	CastroMelchor_2010
SCO3414	cistron2362	1	CastroMelchor_2010
SCO3423	cistron2369	1	CastroMelchor_2010
SCO3424	cistron2370	1	CastroMelchor_2010
SCO3447	cistron2388	1	CastroMelchor_2010
SCO3448	cistron2388	1	CastroMelchor_2010
SCO3449	cistron2388	1	CastroMelchor_2010
SCO3450	cistron2388	1	CastroMelchor_2010
SCO3485	cistron2404	1	CastroMelchor_2010
SCO3506	cistron2417	1	CastroMelchor_2010
SCO3537	cistron2438	1	CastroMelchor_2010
SCO3538	cistron2438	1	CastroMelchor_2010
SCO3548	cistron2447	1	CastroMelchor_2010
SCO3549	cistron2448	1	CastroMelchor_2010
SCO3554	cistron2451	1	CastroMelchor_2010
SCO3555	cistron2451	1	CastroMelchor_2010
SCO3556	cistron2451	1	CastroMelchor_2010
SCO3557	cistron2451	1	CastroMelchor_2010
SCO3571	cistron2461	1	CastroMelchor_2010
SCO3579	cistron2467	1	CastroMelchor_2010
SCO3583	cistron2471	1	CastroMelchor_2010
SCO3586	cistron2474	1	CastroMelchor_2010
SCO3587	cistron2474	1	CastroMelchor_2010
SCO3589	cistron2476	1	CastroMelchor_2010
SCO3590	cistron2476	1	CastroMelchor_2010
SCO3606	cistron2488	1	CastroMelchor_2010
SCO3612	cistron2493	1	CastroMelchor_2010
SCO3613	cistron2493	1	CastroMelchor_2010
SCO3621	cistron2498	1	CastroMelchor_2010
SCO3623	cistron2500	1	CastroMelchor_2010
SCO3626	cistron2503	1	CastroMelchor_2010
SCO3664	cistron2530	1	CastroMelchor_2010
SCO3665	cistron2530	1	CastroMelchor_2010
SCO3666	cistron2531	1	CastroMelchor_2010
SCO3667	cistron2531	1	CastroMelchor_2010
SCO3668	cistron2532	1	CastroMelchor_2010
SCO3669	cistron2532	1	CastroMelchor_2010
SCO3670	cistron2532	1	CastroMelchor_2010
SCO3671	cistron2532	1	CastroMelchor_2010
SCO3690	cistron2547	1	CastroMelchor_2010
SCO3691	cistron2547	1	CastroMelchor_2010
SCO3692	cistron2547	1	CastroMelchor_2010
SCO3694	cistron2549	1	CastroMelchor_2010
SCO3695	cistron2549	1	CastroMelchor_2010
SCO3696	cistron2550	1	CastroMelchor_2010
SCO3702	cistron2554	1	CastroMelchor_2010
SCO3708	cistron2558	1	CastroMelchor_2010
SCO3709	cistron2558	1	CastroMelchor_2010
SCO3714	cistron2563	1	CastroMelchor_2010
SCO3715	cistron2563	1	CastroMelchor_2010
SCO3722	cistron2566	1	CastroMelchor_2010
SCO3736	cistron2578	1	CastroMelchor_2010
SCO3740	cistron2581	1	CastroMelchor_2010
SCO3741	cistron2581	1	CastroMelchor_2010
SCO3756	cistron2590	1	CastroMelchor_2010
SCO3757	cistron2590	1	CastroMelchor_2010
SCO3758	cistron2590	1	CastroMelchor_2010
SCO3769	cistron2598	1	CastroMelchor_2010
SCO3773	cistron2601	1	CastroMelchor_2010
SCO3782	cistron2609	1	CastroMelchor_2010
SCO3804	cistron2629	1	CastroMelchor_2010
SCO3805	cistron2629	1	CastroMelchor_2010
SCO3809	cistron2633	1	CastroMelchor_2010
SCO3810	cistron2633	1	CastroMelchor_2010
SCO3814	cistron2636	1	CastroMelchor_2010
SCO3818	cistron2638	1	CastroMelchor_2010
SCO3820	cistron2640	1	CastroMelchor_2010
SCO3821	cistron2641	1	CastroMelchor_2010
SCO3832	cistron2647	1	CastroMelchor_2010
SCO3833	cistron2648	1	CastroMelchor_2010
SCO3834	cistron2648	1	CastroMelchor_2010
SCO3848	cistron2654	1	CastroMelchor_2010
SCO3857	cistron2659	1	CastroMelchor_2010
SCO3859	cistron2661	1	CastroMelchor_2010
SCO3914	cistron2698	1	CastroMelchor_2010
SCO3919	cistron2703	1	CastroMelchor_2010
SCO3926	cistron2708	1	CastroMelchor_2010
SCO3933	cistron2715	1	CastroMelchor_2010
SCO3934	cistron2715	1	CastroMelchor_2010
SCO3935	cistron2715	1	CastroMelchor_2010
SCO3941	cistron2721	1	CastroMelchor_2010
SCO3943	cistron2723	1	CastroMelchor_2010
SCO3948	cistron2726	1	CastroMelchor_2010
SCO3975	cistron2742	1	CastroMelchor_2010
SCO3979	cistron2746	1	CastroMelchor_2010
