GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj	comparison	direction
GO:0019941	4	4	0.003436426116838488	8.25593395252838e-4	4.162371134020619	0.0033184392600559887	0.04492656228998877	T2vsT1	Up
GO:0016879	4	4	0.003436426116838488	8.25593395252838e-4	4.162371134020619	0.0033184392600559887	0.04492656228998877	T2vsT1	Up
GO:0009098	4	4	0.003436426116838488	8.25593395252838e-4	4.162371134020619	0.0033184392600559887	0.04492656228998877	T2vsT1	Up
GO:0140737	4	4	0.003436426116838488	8.25593395252838e-4	4.162371134020619	0.0033184392600559887	0.04492656228998877	T2vsT1	Up
GO:0006412	62	68	0.05254237288135593	0.014035087719298246	3.74364406779661	6.13920272954308e-32	1.1050564913177544e-29	T2vsT1	Down
GO:0003735	57	61	0.048305084745762714	0.01259029927760578	3.8366907474298415	6.989321597313985e-31	6.290389437582586e-29	T2vsT1	Down
GO:0005840	32	37	0.02711864406779661	0.0076367389060887515	3.5510765002290423	1.9928668036170335e-15	1.19572008217022e-13	T2vsT1	Down
GO:0003723	26	39	0.022033898305084745	0.00804953560371517	2.7372881355932206	2.4670154810891767e-8	1.1101569664901294e-6	T2vsT1	Down
GO:0015934	9	9	0.007627118644067797	0.0018575851393188853	4.105932203389831	2.946057960976374e-6	1.0605808659514946e-4	T2vsT1	Down
GO:0015986	8	8	0.006779661016949152	0.001651186790505676	4.1059322033898304	1.2158773342357262e-5	3.6476320027071786e-4	T2vsT1	Down
GO:0016020	136	427	0.1152542372881356	0.08813209494324045	1.307744214662803	1.4273882177716056e-4	0.0036704268456984146	T2vsT1	Down
GO:0015935	6	6	0.005084745762711864	0.001238390092879257	4.10593220338983	2.067022193979385e-4	0.00413404438795877	T2vsT1	Down
GO:0046933	6	6	0.005084745762711864	0.001238390092879257	4.10593220338983	2.067022193979385e-4	0.00413404438795877	T2vsT1	Down
GO:0045259	7	8	0.005932203389830509	0.001651186790505676	3.592690677966102	3.160762792229335e-4	0.005516857783298577	T2vsT1	Down
GO:0006396	8	10	0.006779661016949152	0.0020639834881320948	3.2847457627118644	3.371413089793575e-4	0.005516857783298577	T2vsT1	Down
GO:0022625	5	5	0.00423728813559322	0.0010319917440660474	4.1059322033898304	8.514372271370417e-4	0.012771558407055626	T2vsT1	Down
GO:0006364	6	7	0.005084745762711864	0.0014447884416924665	3.519370460048426	0.0011460247663209943	0.014734604138412785	T2vsT1	Down
