pathway_id	pathway_name	gene
sco00190	Oxidative phosphorylation	SCO7120
sco00190	Oxidative phosphorylation	SCO7234
sco00190	Oxidative phosphorylation	SCO7236
sco00190	Oxidative phosphorylation	SCO7319
sco00220	Arginine biosynthesis	SCO0613
sco00220	Arginine biosynthesis	SCO1222
sco00220	Arginine biosynthesis	SCO1234
sco00220	Arginine biosynthesis	SCO1235
sco00220	Arginine biosynthesis	SCO1236
sco00220	Arginine biosynthesis	SCO1483
sco00220	Arginine biosynthesis	SCO1484
sco00220	Arginine biosynthesis	SCO1570
sco00220	Arginine biosynthesis	SCO1577
sco00220	Arginine biosynthesis	SCO1578
sco00220	Arginine biosynthesis	SCO1579
sco00220	Arginine biosynthesis	SCO1580
sco00220	Arginine biosynthesis	SCO1613
sco00220	Arginine biosynthesis	SCO2198
sco00220	Arginine biosynthesis	SCO2210
sco00220	Arginine biosynthesis	SCO2241
sco00220	Arginine biosynthesis	SCO2999
sco00220	Arginine biosynthesis	SCO3376
sco00220	Arginine biosynthesis	SCO4078
sco00220	Arginine biosynthesis	SCO4645
sco00220	Arginine biosynthesis	SCO4683
sco00220	Arginine biosynthesis	SCO4984
sco00220	Arginine biosynthesis	SCO5134
sco00220	Arginine biosynthesis	SCO5525
sco00220	Arginine biosynthesis	SCO5526
sco00220	Arginine biosynthesis	SCO5975
sco00220	Arginine biosynthesis	SCO5976
sco00220	Arginine biosynthesis	SCO6222
sco00220	Arginine biosynthesis	SCO6962
sco00220	Arginine biosynthesis	SCO7036
sco00220	Arginine biosynthesis	SCO7049
sco00230	Purine metabolism	SCO0689
sco00230	Purine metabolism	SCO0690
sco00230	Purine metabolism	SCO0691
sco00230	Purine metabolism	SCO0757
sco00230	Purine metabolism	SCO0782
sco00230	Purine metabolism	SCO1132
sco00230	Purine metabolism	SCO1133
sco00230	Purine metabolism	SCO1134
sco00230	Purine metabolism	SCO1234
sco00230	Purine metabolism	SCO1235
sco00230	Purine metabolism	SCO1236
sco00230	Purine metabolism	SCO1254
sco00230	Purine metabolism	SCO1461
sco00230	Purine metabolism	SCO1479
sco00230	Purine metabolism	SCO1513
sco00230	Purine metabolism	SCO1514
sco00230	Purine metabolism	SCO1530
sco00230	Purine metabolism	SCO2015
sco00230	Purine metabolism	SCO2081
sco00230	Purine metabolism	SCO2158
sco00230	Purine metabolism	SCO2470
sco00230	Purine metabolism	SCO2546
sco00230	Purine metabolism	SCO2612
sco00230	Purine metabolism	SCO2843
sco00230	Purine metabolism	SCO2902
sco00230	Purine metabolism	SCO3059
sco00230	Purine metabolism	SCO3060
sco00230	Purine metabolism	SCO3093
sco00230	Purine metabolism	SCO3123
sco00230	Purine metabolism	SCO3348
sco00230	Purine metabolism	SCO3405
sco00230	Purine metabolism	SCO3629
sco00230	Purine metabolism	SCO4068
sco00230	Purine metabolism	SCO4071
sco00230	Purine metabolism	SCO4077
sco00230	Purine metabolism	SCO4078
sco00230	Purine metabolism	SCO4079
sco00230	Purine metabolism	SCO4086
sco00230	Purine metabolism	SCO4087
sco00230	Purine metabolism	SCO4152
sco00230	Purine metabolism	SCO4644
sco00230	Purine metabolism	SCO4723
sco00230	Purine metabolism	SCO4770
sco00230	Purine metabolism	SCO4771
sco00230	Purine metabolism	SCO4785
sco00230	Purine metabolism	SCO4813
sco00230	Purine metabolism	SCO4814
sco00230	Purine metabolism	SCO4859
sco00230	Purine metabolism	SCO4901
sco00230	Purine metabolism	SCO4917
sco00230	Purine metabolism	SCO4928
sco00230	Purine metabolism	SCO4971
sco00230	Purine metabolism	SCO4972
sco00230	Purine metabolism	SCO5225
sco00230	Purine metabolism	SCO5226
sco00230	Purine metabolism	SCO5525
sco00230	Purine metabolism	SCO5526
sco00230	Purine metabolism	SCO5794
sco00230	Purine metabolism	SCO5805
sco00230	Purine metabolism	SCO6075
sco00230	Purine metabolism	SCO6097
sco00230	Purine metabolism	SCO6098
sco00230	Purine metabolism	SCO6099
sco00230	Purine metabolism	SCO6209
sco00230	Purine metabolism	SCO6210
sco00230	Purine metabolism	SCO6211
sco00230	Purine metabolism	SCO6247
sco00230	Purine metabolism	SCO6248
sco00230	Purine metabolism	SCO7268
sco00230	Purine metabolism	SCO7443
sco00230	Purine metabolism	SCO7499
sco00240	Pyrimidine metabolism	SCO1481
sco00240	Pyrimidine metabolism	SCO1482
sco00240	Pyrimidine metabolism	SCO1483
sco00240	Pyrimidine metabolism	SCO1484
sco00240	Pyrimidine metabolism	SCO1486
sco00240	Pyrimidine metabolism	SCO1487
sco00240	Pyrimidine metabolism	SCO1488
sco00240	Pyrimidine metabolism	SCO1760
sco00240	Pyrimidine metabolism	SCO1776
sco00240	Pyrimidine metabolism	SCO1971
sco00240	Pyrimidine metabolism	SCO2015
sco00240	Pyrimidine metabolism	SCO2612
sco00240	Pyrimidine metabolism	SCO2843
sco00240	Pyrimidine metabolism	SCO3072
sco00240	Pyrimidine metabolism	SCO3542
sco00240	Pyrimidine metabolism	SCO3650
sco00240	Pyrimidine metabolism	SCO3678
sco00240	Pyrimidine metabolism	SCO4041
sco00240	Pyrimidine metabolism	SCO4152
sco00240	Pyrimidine metabolism	SCO4634
sco00240	Pyrimidine metabolism	SCO4889
sco00240	Pyrimidine metabolism	SCO4890
sco00240	Pyrimidine metabolism	SCO4909
sco00240	Pyrimidine metabolism	SCO4923
sco00240	Pyrimidine metabolism	SCO5049
sco00240	Pyrimidine metabolism	SCO5225
sco00240	Pyrimidine metabolism	SCO5226
sco00240	Pyrimidine metabolism	SCO5626
sco00240	Pyrimidine metabolism	SCO5680
sco00240	Pyrimidine metabolism	SCO5743
sco00240	Pyrimidine metabolism	SCO5805
sco00240	Pyrimidine metabolism	SCO5845
sco00240	Pyrimidine metabolism	SCO5868
sco00240	Pyrimidine metabolism	SCO6411
sco00240	Pyrimidine metabolism	SCO6414
sco00240	Pyrimidine metabolism	SCO6415
sco00240	Pyrimidine metabolism	SCO7141
sco00250	Alanine, aspartate and glutamate metabolism	SCO0386
sco00250	Alanine, aspartate and glutamate metabolism	SCO1204
