occ2k	LFC_T2vsT1	region
50.58	0.8775802374359299	0
0.0	0.4864064030164255	0
0.0	-0.2016682321445138	0
148.57999999999998	-0.8299871201264029	0
0.0	1.9854878028690233	0
233.88	-1.0878972619303078	0
160.93	-0.4284463849017733	0
79.13	3.315196156832278	0
83.01	2.6935231601259644	0
0.0	-0.689837931446591	0
0.0	-1.0307147902179643	0
0.0	-0.7668411556411651	0
0.0	-0.5530510130978433	0
69.72	0.2348412263615794	0
84.9	-2.6105473280966645	0
0.0	-0.6099229748247753	0
0.0	0.0475200705359124	0
0.0	-0.6481204813202025	0
0.0	1.6882147654829212	0
82.22	1.6437010556982103	0
82.22	0.3227776549048995	0
0.0	0.1726333843476718	0
0.0	-0.8772459390097801	0
0.0	0.9040245487851306	0
0.0	-1.8102154746576544	0
0.0	-0.8323966970424082	0
0.0	1.0293094468069504	0
74.17	-0.5717326292148773	0
0.0	-1.8797533203902916	0
0.0	3.2690510934659804	0
0.0	-1.2381549782920114	0
87.9	-1.1260053392003246	0
0.0	-1.04529906880727	0
0.0	-2.016252091491544	0
53.08	-0.0137258522464046	0
0.0	-0.6667854253778536	0
0.0	-2.179903806611605	0
85.21	-1.000393723119188	0
93.06	4.130395848128299	0
162.73000000000002	-0.5708762172452746	0
94.31	-0.0337759491781159	0
94.31	0.8083934637253871	0
0.0	-0.8626951605881105	0
0.0	-1.145059285071395	0
0.0	-0.8355933754250144	0
0.0	2.891617584917847	0
0.0	1.1148212066184375	0
0.0	1.1464849735440803	0
0.0	-2.058207338092773	0
0.0	0.3109504974023706	0
0.0	-0.55161901383146	0
0.0	-0.0250634768413038	0
0.0	1.0401395580980954	0
0.0	-1.9216630018303835	0
178.01	-2.94605153267327	0
178.01	0.1665840547262255	0
0.0	-0.2556375956815839	0
0.0	-0.5584147619455264	0
98.55	1.0418972871266523	0
94.11	-1.926886428909007	0
94.62	0.0630168366712376	0
117.05	-1.2562254513684274	0
87.64	-1.06437504638543	0
90.95	-0.8254001961557298	0
0.0	-0.0323222690046046	0
73.21	-1.3132734160492394	0
0.0	-0.8950996125621657	0
0.0	0.7982973219900583	0
0.0	-1.558318134472244	0
85.9	-0.9538326231656606	0
0.0	0.7632294118053181	0
169.12	6.63799867067266	0
261.69	-0.5802055478802578	0
0.0	0.9301520478126112	0
0.0	1.1267708295904195	0
0.0	0.6382480727131737	0
0.0	2.003051039898683	0
0.0	1.020718790945095	0
0.0	0.4330456803061361	0
86.83	2.6485640091293856	0
0.0	0.3974434163786196	0
0.0	0.4210736081349593	0
87.3	-2.0995529592420255	0
94.29	-1.8678243028306625	0
0.0	-0.9188251923263788	0
186.71	0.1036633401842649	0
186.71	-0.1437515503613511	0
0.0	-0.825819654572287	0
126.0	-2.1955854384173428	0
0.0	-1.6728590358871127	0
0.0	-2.015676995330079	0
98.25	-0.5029998562335334	0
0.0	1.1859502296208655	0
0.0	1.7664257220602293	0
0.0	0.0987149337733138	0
0.0	1.6780090847451583	0
0.0	-0.117254233241039	0
0.0	-1.304694892321577	0
0.0	-3.2911649386321704	0
0.0	-1.974949831979327	0
231.76999999999998	-0.6539981369008685	0
231.76999999999998	-0.8777496817967684	0
145.01	-0.8183710910650452	0
0.0	2.868531217654587	0
0.0	0.0744689051549469	0
0.0	1.5087439690915627	0
94.35	5.44672201767712	0
94.35	-0.2685324365602969	0
64.42	-0.3742325630780733	0
64.42	0.3780366942079564	0
74.08	3.2007683924803816	0
0.0	0.2191804438160448	0
0.0	-0.5646193232573034	0
339.48	-1.4375264746049232	0
247.07	-1.3873486809671436	0
