region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
core_non_regulatory	4700.0	0.5549106106338518	0.5002902252147665	0.6129846761086603	4307
core_non_regulatory	4900.0	0.5560715114929184	0.5061237520315764	0.6106338518690503	4307
arm_regulatory	-4900.0	0.2911392405063291	0.16455696202531644	0.43037974683544306	395
arm_regulatory	-4700.0	0.25316455696202533	0.1518987341772152	0.367405063291139	395
arm_regulatory	-4500.0	0.26582278481012656	0.1518987341772152	0.379746835443038	395
arm_regulatory	-4300.0	0.26582278481012656	0.1518987341772152	0.3924050632911392	395
arm_regulatory	-4100.0	0.35443037974683544	0.21518987341772153	0.4936708860759494	395
arm_regulatory	-3900.0	0.43037974683544306	0.27848101265822783	0.5949367088607594	395
arm_regulatory	-3700.0	0.3291139240506329	0.20253164556962025	0.4810126582278481	395
arm_regulatory	-3500.0	0.3037974683544304	0.189873417721519	0.43037974683544306	395
arm_regulatory	-3300.0	0.4050632911392405	0.26582278481012656	0.5569620253164557	395
arm_regulatory	-3100.0	0.25316455696202533	0.13924050632911392	0.379746835443038	395
arm_regulatory	-2900.0	0.3291139240506329	0.21487341772151902	0.46835443037974683	395
arm_regulatory	-2700.0	0.25316455696202533	0.1518987341772152	0.35443037974683544	395
arm_regulatory	-2500.0	0.3037974683544304	0.16455696202531644	0.43037974683544306	395
arm_regulatory	-2300.0	0.3037974683544304	0.20221518987341774	0.43037974683544306	395
arm_regulatory	-2100.0	0.35443037974683544	0.21518987341772153	0.5063291139240507	395
arm_regulatory	-1900.0	0.31645569620253167	0.20253164556962025	0.43037974683544306	395
arm_regulatory	-1700.0	0.46835443037974683	0.3037974683544304	0.620253164556962	395
arm_regulatory	-1500.0	0.45569620253164556	0.3037974683544304	0.620253164556962	395
arm_regulatory	-1300.0	0.24050632911392406	0.13924050632911392	0.35443037974683544	395
arm_regulatory	-1100.0	0.26582278481012656	0.1515822784810127	0.4050632911392405	395
arm_regulatory	-900.0	0.22784810126582278	0.11392405063291139	0.3670886075949367	395
arm_regulatory	-700.0	0.24050632911392406	0.13924050632911392	0.34177215189873417	395
arm_regulatory	-500.0	0.3037974683544304	0.189873417721519	0.43037974683544306	395
