locus_tag	is_coordinated	coordination_primary	region	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1
SC_RS10195	False	non_coordinated	core	0	5	5	0.5538707549857117
SC_RS10220	False	non_coordinated	core	1	1	0	0.7892349412930391
SC_RS10280	False	non_coordinated	core	1	1	0	-0.1286752955156062
SC_RS10300	False	non_coordinated	core	0	0	0	0.2105562944714867
SC_RS10320	False	non_coordinated	core	1	0	-1	-0.1332324471539547
SC_RS10405	False	non_coordinated	core	1	2	1	-0.3236418329942345
SC_RS10435	True	concordant_derepression	core	5	5	0	1.7289097130718962
SC_RS10470	False	non_coordinated	core	0	0	0	-0.2695784113731092
SC_RS10500	False	non_coordinated	core	1	2	1	0.6242426317153026
SC_RS10510	False	non_coordinated	core	1	1	0	-0.9197404305181168
SC_RS10525	False	non_coordinated	core	2	2	0	-0.0403495157874718
SC_RS10530	False	non_coordinated	core	6	7	1	0.4200450762205345
SC_RS10575	False	non_coordinated	core	1	1	0	-0.525619438019548
SC_RS10590	False	non_coordinated	core	2	3	1	-0.2723150489539294
SC_RS10600	False	non_coordinated	core	1	3	2	0.2966461996982341
SC_RS10620	False	non_coordinated	core	2	5	3	0.4500686343813912
SC_RS10625	False	non_coordinated	core	3	5	2	0.5894379158580678
SC_RS10650	False	non_coordinated	core	0	0	0	0.3167615741544625
SC_RS10690	False	non_coordinated	core	3	2	-1	-0.9249908601902612
SC_RS10730	False	non_coordinated	core	2	2	0	0.2936678654421161
SC_RS10735	False	non_coordinated	core	2	3	1	0.7624098181580469
SC_RS10880	False	non_coordinated	core	4	5	1	0.2587737584567641
SC_RS10900	False	non_coordinated	core	1	1	0	-0.5252530335273791
SC_RS10960	False	non_coordinated	core	1	1	0	-2.4002125545368926
SC_RS11030	False	non_coordinated	core	2	4	2	-0.0407721930778691
SC_RS11035	False	non_coordinated	core	1	4	3	-0.3567567096233709
SC_RS11090	False	non_coordinated	core	2	2	0	-2.4417335587764044
SC_RS11225	False	non_coordinated	core	3	3	0	4.5598935667318585
SC_RS11390	False	non_coordinated	core	5	7	2	-1.594216831330721
SC_RS11410	False	non_coordinated	core	4	3	-1	-1.2152711716445304
SC_RS11480	False	non_coordinated	core	0	1	1	-0.5863080449661612
SC_RS11515	True	discordant_gain_up	core	2	2	0	1.3069071437293096
SC_RS11550	False	non_coordinated	core	3	3	0	-0.7167714466850531
SC_RS11595	False	non_coordinated	core	1	2	1	0.9621694831733594
SC_RS11615	False	non_coordinated	core	1	1	0	1.1983431369128177
SC_RS11620	False	non_coordinated	core	1	1	0	0.5176991416206476
SC_RS11665	False	non_coordinated	core	0	0	0	0.3931407418762849
SC_RS11780	False	non_coordinated	core	0	0	0	-0.3149523524804227
SC_RS11810	False	non_coordinated	core	0	0	0	-0.1586380844724247
SC_RS11925	False	non_coordinated	core	0	1	1	-0.3773227941484326
SC_RS12005	False	non_coordinated	core	2	2	0	2.342123461012669
SC_RS12095	False	non_coordinated	core	0	0	0	-0.3758406132605544
SC_RS12270	False	non_coordinated	core	1	1	0	-0.504119817838419
SC_RS12415	False	non_coordinated	core	1	1	0	0.1501744106888396
SC_RS12540	False	non_coordinated	core	2	2	0	-1.5903492218499955
SC_RS12550	False	non_coordinated	core	2	1	-1	0.7157076226672633
SC_RS12555	False	non_coordinated	core	2	1	-1	1.1709623200672856
SC_RS12565	False	non_coordinated	core	2	1	-1	-0.319994432494782
SC_RS12645	False	non_coordinated	core	1	1	0	-0.4512524135328378
SC_RS12650	False	non_coordinated	core	1	1	0	-1.082981617867327
SC_RS12675	False	non_coordinated	core	3	2	-1	-1.259521699072848
SC_RS12745	False	non_coordinated	core	2	1	-1	0.4956689769917444
SC_RS12755	False	non_coordinated	core	2	2	0	-0.281185503180341
SC_RS12760	False	non_coordinated	core	2	2	0	0.0859218504176399
SC_RS12805	False	non_coordinated	core	6	6	0	2.1935946969463735
SC_RS12865	False	non_coordinated	core	2	2	0	-0.1917678736915759
SC_RS12870	False	non_coordinated	core	3	3	0	0.3624581058940449
SC_RS12950	False	non_coordinated	core	2	3	1	0.1300448292815365
SC_RS12960	False	non_coordinated	core	2	2	0	-0.8803507852391097
SC_RS13040	False	non_coordinated	core	2	2	0	1.1184701124315022
SC_RS13055	False	non_coordinated	core	1	1	0	-1.0196349081247655
SC_RS13080	False	non_coordinated	core	2	2	0	-1.176980209290797
SC_RS13095	False	non_coordinated	core	2	0	-2	3.2391391537497167
SC_RS13105	False	non_coordinated	core	1	1	0	0.1740463422357375
SC_RS13110	False	non_coordinated	core	1	1	0	0.7026718820417603
SC_RS13125	False	non_coordinated	core	1	1	0	1.0679047821279013
SC_RS13145	True	discordant_loss_down	core	1	0	-1	-2.60408418536578
SC_RS13190	False	non_coordinated	core	2	2	0	-2.6587528765760107
SC_RS13245	False	non_coordinated	core	3	6	3	-2.2129166190388716
SC_RS13260	False	non_coordinated	core	1	2	1	3.3663418540859613
SC_RS13290	False	non_coordinated	core	7	6	-1	0.0608048760213377
SC_RS13320	False	non_coordinated	core	5	5	0	-0.3773673343662351
SC_RS13425	False	non_coordinated	core	0	0	0	-1.0387231218797262
SC_RS13430	False	non_coordinated	core	0	0	0	-0.9623696723215917
SC_RS13500	False	non_coordinated	core	1	1	0	0.6234817397491822
SC_RS13505	False	non_coordinated	core	1	1	0	0.9337403745589276
SC_RS13565	False	non_coordinated	core	4	3	-1	0.4613973102298433
SC_RS13570	False	non_coordinated	core	5	1	-4	-0.2386412437147756
SC_RS13625	False	non_coordinated	core	1	1	0	-3.676026147414828
SC_RS13675	False	non_coordinated	core	1	0	-1	-0.5369601164110699
SC_RS13685	False	non_coordinated	core	1	0	-1	-0.3417068151357726
SC_RS13825	False	non_coordinated	core	3	1	-2	0.2954205177531505
SC_RS13830	False	non_coordinated	core	5	4	-1	0.1551476631430388
SC_RS13905	False	non_coordinated	core	7	8	1	-0.003092793300663
SC_RS13925	False	non_coordinated	core	3	6	3	2.0981626733944214
SC_RS13940	False	non_coordinated	core	1	2	1	1.9329857117297928
SC_RS13965	True	discordant_loss_down	core	7	6	-1	-1.3457214719384083
SC_RS14025	False	non_coordinated	core	3	1	-2	0.2031974271377919
SC_RS14165	False	non_coordinated	core	2	2	0	3.9154492499711857
SC_RS14235	False	non_coordinated	core	0	1	1	-0.8787910467248727
SC_RS14245	False	non_coordinated	core	1	0	-1	-0.9839733105279588
SC_RS14295	False	non_coordinated	core	3	3	0	0.1926478495523862
SC_RS14375	False	non_coordinated	core	0	0	0	-0.7841611672419613
SC_RS14425	False	non_coordinated	core	2	2	0	-0.3237729340935993
SC_RS14455	False	non_coordinated	core	1	1	0	3.990337584269753
SC_RS14495	False	non_coordinated	core	1	1	0	0.2172356621312726
SC_RS14555	False	non_coordinated	core	3	2	-1	1.2367478968388692
SC_RS14590	False	non_coordinated	core	1	1	0	0.2684753890373882
SC_RS14615	False	non_coordinated	core	1	1	0	6.092668182947945
SC_RS14635	False	non_coordinated	core	2	1	-1	3.933775298413101
SC_RS14640	False	non_coordinated	core	1	1	0	3.270367719518872
SC_RS14725	False	non_coordinated	core	0	0	0	-0.7616220063997272
SC_RS14735	False	non_coordinated	core	2	2	0	0.8666976645231068
SC_RS14770	False	non_coordinated	core	3	3	0	-0.1518813967867011
SC_RS14825	False	non_coordinated	core	1	2	1	-1.044164842858697
SC_RS14890	False	non_coordinated	core	3	2	-1	-2.0105519076520997
SC_RS15140	False	non_coordinated	core	1	1	0	-1.063467177593841
SC_RS15270	True	discordant_loss_down	core	2	4	2	-1.718484135527773
SC_RS15295	False	non_coordinated	core	2	2	0	-1.919461075886158
SC_RS15310	False	non_coordinated	core	1	1	0	-1.77383748861616
SC_RS15335	False	non_coordinated	core	1	1	0	-1.5646365908289377
SC_RS15360	False	non_coordinated	core	4	4	0	-1.5708917691090083
SC_RS15485	True	discordant_loss_down	core	6	5	-1	-1.633740595502153
SC_RS15495	False	non_coordinated	core	3	4	1	-0.3940206184391142
SC_RS15515	False	non_coordinated	core	0	0	0	-1.5827249334929254
SC_RS15725	False	non_coordinated	core	1	1	0	0.0320726027281723
SC_RS15755	False	non_coordinated	core	1	1	0	0.4154366638885007
SC_RS15795	False	non_coordinated	core	0	1	1	0.3350555672221927
SC_RS15810	False	non_coordinated	core	0	1	1	-1.3714511419142328
SC_RS15850	False	non_coordinated	core	4	3	-1	-0.8557136270428685
SC_RS15870	False	non_coordinated	core	1	2	1	-0.8118953385157253
SC_RS15920	False	non_coordinated	core	1	2	1	1.7200093967983034
SC_RS15960	False	non_coordinated	core	1	2	1	-1.4558761315398885
SC_RS16045	False	non_coordinated	core	0	0	0	0.2855693917650436
SC_RS16060	False	non_coordinated	core	2	2	0	-0.6934597498605036
SC_RS16090	False	non_coordinated	core	4	3	-1	1.111192488293643
SC_RS16095	False	non_coordinated	core	3	3	0	1.2286063475604352
SC_RS16145	False	non_coordinated	core	1	1	0	-0.4866504761710769
SC_RS16165	False	non_coordinated	core	2	2	0	-1.4534602602806237
SC_RS16255	False	non_coordinated	core	2	2	0	2.6017573397032967
SC_RS16305	False	non_coordinated	core	1	2	1	0.5941385457150125
SC_RS16325	False	non_coordinated	core	1	2	1	-2.5904476267344374
SC_RS16330	False	non_coordinated	core	1	2	1	-1.7020606949795536
SC_RS16365	False	non_coordinated	core	2	3	1	-0.6129902178245757
SC_RS16395	False	non_coordinated	core	0	1	1	-1.7412503091118272
SC_RS16420	False	non_coordinated	core	3	2	-1	-0.6378221525205899
SC_RS16445	False	non_coordinated	core	2	2	0	0.5907186038342439
SC_RS16475	False	non_coordinated	core	2	2	0	0.0504358950090346
SC_RS16720	False	non_coordinated	core	12	7	-5	0.2048375575204512
SC_RS16730	False	non_coordinated	core	2	2	0	-0.1668985992533252
SC_RS16740	False	non_coordinated	core	1	1	0	-1.2149716852184476
SC_RS16775	False	non_coordinated	core	2	2	0	-0.6863898799164236
SC_RS16855	True	discordant_loss_down	core	2	1	-1	-1.6542997259922183
SC_RS16870	False	non_coordinated	core	1	0	-1	1.1926883458951565
SC_RS16875	False	non_coordinated	core	1	1	0	1.954392305951057
SC_RS16920	False	non_coordinated	core	4	3	-1	-2.146393632076846
SC_RS17040	False	non_coordinated	core	3	2	-1	-0.8971773783586984
SC_RS17075	False	non_coordinated	core	1	1	0	-2.853029374803972
SC_RS17135	False	non_coordinated	core	3	3	0	-1.7096121261829431
SC_RS17140	False	non_coordinated	core	2	3	1	1.6024025720841717
SC_RS17160	False	non_coordinated	core	0	0	0	-0.6702161985629062
SC_RS17165	False	non_coordinated	core	3	2	-1	-0.0965430792290759
SC_RS17285	False	non_coordinated	core	2	1	-1	-0.9947476890892744
SC_RS17425	False	non_coordinated	core	1	1	0	0.1362981801614192
SC_RS17430	False	non_coordinated	core	0	0	0	0.4668719232189372
SC_RS17455	False	non_coordinated	core	3	2	-1	-1.1881778751323795
SC_RS17490	False	non_coordinated	core	2	2	0	-1.4515547738902486
SC_RS17670	True	discordant_loss_down	core	1	1	0	-0.3256079258555034
SC_RS17725	False	non_coordinated	core	2	1	-1	-0.2092175350437949
SC_RS17770	False	non_coordinated	core	0	0	0	0.0348474503330646
SC_RS17790	False	non_coordinated	core	4	4	0	-0.4338245961618631
SC_RS17795	True	discordant_gain_up	core	3	4	1	3.4047840224669184
SC_RS17830	False	non_coordinated	core	4	5	1	-0.0452965010931839
SC_RS17900	False	non_coordinated	core	2	2	0	-0.3144440925299834
SC_RS17945	False	non_coordinated	core	4	5	1	-0.4257906660143592
SC_RS17975	False	non_coordinated	core	3	3	0	-1.5446593892137368
SC_RS18030	False	non_coordinated	core	4	3	-1	-1.5471123392376651
SC_RS18105	False	non_coordinated	core	1	2	1	-0.1982441960944395
SC_RS18115	False	non_coordinated	core	1	1	0	-1.2092650223112538
SC_RS18120	False	non_coordinated	core	2	2	0	-0.6381178726586845
