gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS26195,SCO4806,-2.3797029929307567,1.0963831592669626e-30,,T2_vs_T1,4mC,-82.91333333333334,,,,,,,,
SC_RS26265,SCO4820,2.4501188756393044,4.106398930444885e-38,,T2_vs_T1,4mC,-63.56666666666666,,,,,,,,
SC_RS26305,SCO4829,-2.295292865601086,1.9079359756850645e-25,,T2_vs_T1,4mC,-80.47333333333334,,,,,,,,
SC_RS26600,SCO4888,-2.3801125146994675,6.6393053527163456e-46,,T2_vs_T1,4mC,-73.12,,,,,,,,
SC_RS26870,SCO4941,-2.359191850313123,4.1438144174309835e-08,,T2_vs_T1,4mC,-62.48,,,,,,,,
SC_RS27020,SCO4972,1.184816307072617,8.530435882348843e-10,,T2_vs_T1,4mC,-78.73,,,,,,,,
SC_RS27200,SCO5007,3.779796692229396,1.2264003886998407e-47,,T2_vs_T1,4mC,-65.57333333333334,,,,,,,,
SC_RS27255,SCO5018,1.0030971831714777,0.0174091835754113,,T2_vs_T1,4mC,12.11666666666666,,,,,,,,
SC_RS27555,SCO5079,1.4447110627908997,3.7281607100575967e-06,,T2_vs_T1,4mC,-70.77333333333333,,,,,,,,
SC_RS27735,SCO5115,-2.8018069072319203,4.7583135928870055e-34,,T2_vs_T1,4mC,-21.070000000000007,,,,,,,,
SC_RS27855,SCO5139,-1.695212883128401,2.5384830875627397e-22,,T2_vs_T1,4mC,-24.91333333333334,,,,,,,,
SC_RS28135,SCO5194,1.7086806614839514,1.3193467250985806e-15,,T2_vs_T1,4mC,-10.409999999999997,,,,,,,,
SC_RS28275,SCO5219,5.541953538814594,4.001425761464134e-89,,T2_vs_T1,4mC,70.3,,,,,,,,
SC_RS28435,SCO5251,2.261106987779401,1.9314622950790992e-20,,T2_vs_T1,4mC,-61.95666666666667,,,,,,,,
