gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS17225,SCO3022,-1.8411200205910192,3.0167289695766775e-17,,T2_vs_T1,4mC,-71.8,,,,,,,,
SC_RS18280,SCO3233,6.585460198352837,1.5504478801806883e-79,,T2_vs_T1,4mC,-13.700000000000003,,,,,,,,
SC_RS18835,SCO3343,-1.4528064243422287,1.5299754500339386e-06,,T2_vs_T1,4mC,-82.50333333333333,,,,,,,,
SC_RS18855,SCO3347,1.5197926105926127,1.8124551629615205e-18,,T2_vs_T1,4mC,-14.86666666666666,,,,,,,,
SC_RS19835,SCO3540,1.9413002641952772,3.9734617306775847e-19,,T2_vs_T1,4mC,-66.04,,,,,,,,
SC_RS20135,SCO3600,-2.032137929466868,2.467216729464118e-07,,T2_vs_T1,4mC,-69.60333333333334,,,,,,,,
SC_RS20390,SCO3650,-1.6061753198578903,3.2032072324825815e-17,,T2_vs_T1,4mC,-83.50666666666666,,,,,,,,
SC_RS20860,SCO3747,-2.7876968128057107,6.508748057957316e-19,,T2_vs_T1,4mC,14.230000000000011,,,,,,,,
SC_RS20895,SCO3754,-1.3037696594178667,6.271131203398981e-05,,T2_vs_T1,4mC,-20.033333333333317,,,,,,,,
SC_RS20940,SCO3764,-1.8096397709492575,2.087426930089258e-19,,T2_vs_T1,4mC,-70.89333333333333,,,,,,,,
SC_RS21130,SCO3801,-1.3542392235138505,6.9111450958409245e-15,,T2_vs_T1,4mC,-59.11333333333332,,,,,,,,
SC_RS21280,SCO3830,2.2717417756857285,4.6289114680510664e-33,,T2_vs_T1,4mC,-12.966666666666669,,,,,,,,
SC_RS21620,SCO3895,-1.2783063704194342,6.054445475919675e-14,,T2_vs_T1,4mC,-65.08666666666666,,,,,,,,
SC_RS21625,SCO3896,-1.2116360154032038,4.9523544073698787e-14,,T2_vs_T1,4mC,-65.08666666666666,,,,,,,,
SC_RS22390,SCO4053,-1.5645286211451892,1.9286822904196e-07,,T2_vs_T1,4mC,11.939999999999998,,,,,,,,
SC_RS22705,SCO4107,-1.3337380854986798,1.1252097539561648e-09,,T2_vs_T1,4mC,-62.71333333333334,,,,,,,,
SC_RS22975,SCO4157,-1.433551829331646,0.00014953982922582927,,T2_vs_T1,4mC,54.54666666666666,,,,,,,,
SC_RS23315,SCO4226,3.498830341665184,6.0237596298387426e-33,,T2_vs_T1,4mC,-63.28333333333333,,,,,,,,
SC_RS23320,SCO4227,4.481749079043134,2.270043796807783e-42,,T2_vs_T1,4mC,-63.28333333333333,,,,,,,,
SC_RS23420,SCO4246,3.152219251341476,1.4292250302589067e-76,,T2_vs_T1,4mC,-17.453333333333347,,,,,,,,
SC_RS23430,SCO4248,1.9913741269586256,2.3289547331803063e-18,,T2_vs_T1,4mC,-55.03,,,,,,,,
SC_RS23590,SCO4281,2.2882709369638827,3.188147860529471e-26,,T2_vs_T1,4mC,-67.63333333333333,,,,,,,,
SC_RS23755,SCO4314,1.5221245339164573,1.680835403703467e-14,,T2_vs_T1,4mC,-80.49666666666667,,,,,,,,
SC_RS24840,SCO4537,-1.3997538749510312,7.11605214530022e-10,,T2_vs_T1,4mC,-12.86333333333333,,,,,,,,
SC_RS25435,SCO4651,-2.695086823649427,8.031359111729585e-30,,T2_vs_T1,4mC,-61.22666666666667,,,,,,,,
SC_RS25760,SCO4720,-2.124072303963095,2.171232198795765e-15,,T2_vs_T1,4mC,-66.05666666666667,,,,,,,,
SC_RS25830,SCO4734,-2.307194377867363,3.4581814952311677e-19,,T2_vs_T1,4mC,-73.42666666666666,,,,,,,,
SC_RS26190,SCO4805,-2.34586946586079,4.202247167935599e-30,,T2_vs_T1,4mC,-81.74000000000001,,,,,,,,
