pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj	comparison	direction
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	17	40	0.01161995898838004	2.3161483253588515	3.386034985206363e-4	0.001185112244822227	T3vsT2	Down
sco04122	Sulfur relay system - Streptomyces coelicolor	9	15	0.006151742993848257	3.2698564593301436	3.9629516638425697e-4	0.0013356614867024957	T3vsT2	Down
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	24	67	0.016404647983595352	1.952153110047847	5.104202598920849e-4	0.001658865844649276	T3vsT2	Down
sco00620	Pyruvate metabolism - Streptomyces coelicolor	21	56	0.014354066985645933	2.0436602870813396	5.59075407725214e-4	0.0017543400725170506	T3vsT2	Down
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	6	8	0.004101161995898838	4.087320574162679	7.541627447095561e-4	0.0022876269922856535	T3vsT2	Down
sco00909	Sesquiterpenoid and triterpenoid biosynthesis - Streptomyces coelicolor	4	4	0.002734107997265892	5.449760765550239	0.0011298858915743772	0.0033167618107505913	T3vsT2	Down
sco00020	Citrate cycle (TCA cycle) - Streptomyces coelicolor	15	37	0.010252904989747095	2.2093624725203673	0.0013496840583072777	0.0037218560395746144	T3vsT2	Down
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	15	37	0.010252904989747095	2.2093624725203673	0.0013496840583072777	0.0037218560395746144	T3vsT2	Down
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	10	22	0.00683526999316473	2.4771639843410176	0.0031653150686753026	0.008471872683807427	T3vsT2	Down
sco00640	Propanoate metabolism - Streptomyces coelicolor	13	33	0.00888585099111415	2.146875453095549	0.003760776470718177	0.00977801882386726	T3vsT2	Down
sco03070	Bacterial secretion system - Streptomyces coelicolor	8	16	0.005468215994531784	2.7248803827751193	0.003999039022390301	0.010108681973264371	T3vsT2	Down
sco00660	C5-Branched dibasic acid metabolism - Streptomyces coelicolor	7	13	0.004784688995215311	2.9344865660655133	0.004211563469348577	0.010358169613803259	T3vsT2	Down
sco03050	Proteasome - Streptomyces coelicolor	3	3	0.002050580997949419	5.44976076555024	0.006167938736882041	0.014770590133059626	T3vsT2	Down
sco00360	Phenylalanine metabolism - Streptomyces coelicolor	13	35	0.00888585099111415	2.0241968557758034	0.006755237017358106	0.015762110322298933	T3vsT2	Down
sco01320	Sulfur cycle - Streptomyces coelicolor	5	8	0.003417634996582365	3.406100478468899	0.0070714763624158015	0.015762110322298933	T3vsT2	Down
sco00261	Monobactam biosynthesis - Streptomyces coelicolor	7	14	0.004784688995215311	2.7248803827751193	0.007101610145211606	0.015762110322298933	T3vsT2	Down
sco00750	Vitamin B6 metabolism - Streptomyces coelicolor	6	11	0.004101161995898838	2.9725967812092216	0.007510210427131816	0.015890777980589008	T3vsT2	Down
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	11	28	0.007518796992481203	2.1409774436090223	0.007683453089515564	0.015890777980589008	T3vsT2	Down
sco00770	Pantothenate and CoA biosynthesis - Streptomyces coelicolor	11	28	0.007518796992481203	2.1409774436090223	0.007683453089515564	0.015890777980589008	T3vsT2	Down
sco00340	Histidine metabolism - Streptomyces coelicolor	9	22	0.006151742993848257	2.229447585906916	0.011511268828243356	0.023278343630447673	T3vsT2	Down
sco00900	Terpenoid backbone biosynthesis - Streptomyces coelicolor	9	23	0.006151742993848257	2.132515082171833	0.01589538002884001	0.03144520831792263	T3vsT2	Down
sco00552	Teichoic acid biosynthesis - Streptomyces coelicolor	4	7	0.002734107997265892	3.114149008885851	0.024680609206150606	0.04778586037786607	T3vsT2	Down
sco03018	RNA degradation - Streptomyces coelicolor	6	15	0.004101161995898838	2.1799043062200956	0.029675016928320964	0.056258886259941826	T3vsT2	Down
sco03060	Protein export - Streptomyces coelicolor	8	23	0.005468215994531784	1.8955689619305183	0.03546870398696804	0.06538235225777689	T3vsT2	Down
sco03420	Nucleotide excision repair - Streptomyces coelicolor	5	11	0.003417634996582365	2.4771639843410176	0.03592436937240488	0.06538235225777689	T3vsT2	Down
sco00780	Biotin metabolism - Streptomyces coelicolor	7	19	0.004784688995215311	2.0078065978342985	0.04488683736246606	0.08009219999969436	T3vsT2	Down
sco00630	Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor	16	57	0.010936431989063569	1.5297574078737515	0.046936994548509095	0.08213974045989092	T3vsT2	Down
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	5	12	0.003417634996582365	2.2707336523125994	0.05250362887110015	0.09014774013717196	T3vsT2	Down
sco00280	Valine, leucine and isoleucine degradation - Streptomyces coelicolor	13	45	0.00888585099111415	1.574375332270069	0.056282215046501896	0.0931214830769395	T3vsT2	Down
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	13	45	0.00888585099111415	1.574375332270069	0.056282215046501896	0.0931214830769395	T3vsT2	Down
