locus_tag	category	upstream_density	downstream_density
SC_RS20985	Shielded	2.0	0.0
SC_RS21030	Shielded	0.0	0.0
SC_RS21145	Shielded	0.0	0.0
SC_RS21175	Shielded	0.0	0.0
SC_RS21185	Shielded	0.0	3.4129692832764507
SC_RS21215	Shielded	0.0	0.0
SC_RS21235	Shielded	0.0	0.0
SC_RS21290	Shielded	0.0	0.0
SC_RS21295	Shielded	0.0	0.0
SC_RS21350	Shielded	0.0	0.0
SC_RS21355	Shielded	0.0	0.0
SC_RS21435	Shielded	0.0	0.0
SC_RS21460	Shielded	0.0	0.0
SC_RS21600	Shielded	0.0	0.0
SC_RS21605	Shielded	0.0	0.0
SC_RS21645	Shielded	0.0	0.0
SC_RS21715	Shielded	0.0	0.0
SC_RS21740	Shielded	0.0	0.0
SC_RS21770	Shielded	0.0	0.0
SC_RS21775	Shielded	0.0	0.0
SC_RS21805	Shielded	0.0	0.0
SC_RS21855	Shielded	0.0	0.0
SC_RS21880	Shielded	0.0	0.0
SC_RS22035	Shielded	0.0	0.0
SC_RS22050	Shielded	0.0	0.0
SC_RS22070	Shielded	0.0	0.0
SC_RS22150	Shielded	0.0	0.0
SC_RS22155	Shielded	0.0	0.0
SC_RS22190	Shielded	0.0	0.0
SC_RS22205	Shielded	0.0	0.0
SC_RS22215	Shielded	0.0	0.0
SC_RS22220	Shielded	0.0	0.0
SC_RS22225	Shielded	0.0	0.0
SC_RS22245	Shielded	2.0	0.0
SC_RS22280	Shielded	0.0	0.0
SC_RS22290	Shielded	0.0	0.0
SC_RS22295	Shielded	0.0	3.4129692832764507
SC_RS22420	Shielded	0.0	0.0
SC_RS22490	Shielded	0.0	0.0
SC_RS22495	Shielded	0.0	0.0
SC_RS22545	Shielded	0.0	0.0
SC_RS22590	Shielded	0.0	0.0
SC_RS22660	Shielded	0.0	0.0
SC_RS22675	Shielded	0.0	0.0
SC_RS22750	Shielded	0.0	0.0
SC_RS22755	Shielded	0.0	0.0
SC_RS22760	Shielded	0.0	0.0
SC_RS22800	Shielded	0.0	0.0
SC_RS22805	Shielded	2.0	0.0
SC_RS22870	Shielded	0.0	0.0
SC_RS22920	Shielded	0.0	0.0
SC_RS22955	Shielded	0.0	0.0
SC_RS22965	Shielded	0.0	0.0
SC_RS22970	Shielded	0.0	0.0
SC_RS22985	Shielded	0.0	0.0
SC_RS23025	Shielded	0.0	0.0
SC_RS23070	Shielded	0.0	0.0
SC_RS23085	Shielded	0.0	0.0
SC_RS23125	Shielded	0.0	0.0
SC_RS23135	Shielded	0.0	0.0
SC_RS23155	Shielded	0.0	0.0
SC_RS23170	Shielded	0.0	0.0
SC_RS23175	Shielded	0.0	0.0
SC_RS23215	Shielded	0.0	0.0
SC_RS23260	Shielded	0.0	0.0
SC_RS23300	Shielded	0.0	0.0
SC_RS23330	Shielded	0.0	0.0
SC_RS23335	Shielded	0.0	0.0
SC_RS23345	Shielded	0.0	0.0
SC_RS23495	Shielded	0.0	0.0
SC_RS23500	Shielded	0.0	0.0
SC_RS23535	Shielded	0.0	0.0
SC_RS23560	Shielded	0.0	0.0
SC_RS23565	Shielded	0.0	0.0
SC_RS23610	Shielded	0.0	0.0
SC_RS23690	Shielded	0.0	0.0
SC_RS23700	Shielded	0.0	0.0
SC_RS23725	Shielded	2.0	0.0
SC_RS23750	Shielded	0.0	0.0
SC_RS23810	Shielded	0.0	0.0
SC_RS23860	Shielded	0.0	0.0
SC_RS23960	Shielded	0.0	0.0
SC_RS23980	Shielded	0.0	0.0
SC_RS23985	Shielded	0.0	0.0
SC_RS24045	Shielded	0.0	0.0
SC_RS24095	Shielded	0.0	0.0
SC_RS24125	Shielded	0.0	0.0
SC_RS24140	Shielded	4.0	0.0
SC_RS24185	Shielded	2.0	0.0
SC_RS24205	Shielded	0.0	0.0
SC_RS24215	Shielded	0.0	0.0
SC_RS24235	Shielded	0.0	0.0
SC_RS24270	Shielded	0.0	0.0
SC_RS24295	Shielded	0.0	0.0
SC_RS24335	Shielded	2.0	0.0
SC_RS24370	Shielded	0.0	0.0
SC_RS24380	Shielded	0.0	0.0
SC_RS24390	Shielded	0.0	0.0
SC_RS24415	Shielded	0.0	0.0
SC_RS24425	Shielded	0.0	3.4129692832764507
SC_RS24435	Shielded	0.0	0.0
SC_RS24470	Shielded	0.0	0.0
SC_RS24490	Shielded	0.0	0.0
SC_RS24545	Shielded	0.0	0.0
SC_RS24560	Shielded	0.0	0.0
SC_RS24570	Shielded	0.0	0.0
SC_RS24585	Shielded	0.0	0.0
SC_RS24625	Shielded	0.0	0.0
SC_RS24660	Shielded	0.0	0.0
SC_RS24870	Shielded	0.0	0.0
SC_RS24895	Shielded	0.0	0.0
SC_RS25095	Shielded	0.0	0.0
SC_RS25135	Shielded	0.0	0.0
SC_RS25140	Shielded	0.0	0.0
SC_RS25145	Shielded	0.0	0.0
SC_RS25300	Shielded	0.0	0.0
SC_RS25320	Shielded	0.0	0.0
SC_RS25375	Shielded	0.0	0.0
SC_RS25415	Shielded	0.0	0.0
SC_RS25495	Shielded	0.0	0.0
SC_RS25510	Shielded	0.0	0.0
SC_RS25515	Shielded	0.0	0.0
SC_RS25530	Shielded	0.0	0.0
SC_RS25540	Shielded	0.0	0.0
SC_RS25555	Shielded	0.0	0.0
SC_RS25565	Shielded	0.0	0.0
SC_RS25575	Shielded	0.0	0.0
SC_RS25615	Shielded	0.0	0.0
SC_RS25875	Shielded	0.0	0.0
SC_RS25930	Shielded	0.0	0.0
SC_RS25945	Shielded	0.0	0.0
SC_RS25995	Shielded	0.0	0.0
SC_RS26000	Shielded	0.0	0.0
SC_RS26005	Shielded	0.0	0.0
SC_RS26125	Shielded	0.0	0.0
SC_RS26210	Shielded	0.0	0.0
SC_RS26275	Shielded	2.0	0.0
SC_RS26280	Shielded	0.0	3.4129692832764507
SC_RS26290	Shielded	0.0	0.0
SC_RS26340	Shielded	0.0	0.0
SC_RS26410	Shielded	0.0	0.0
SC_RS26480	Shielded	0.0	0.0
SC_RS26490	Shielded	0.0	0.0
SC_RS26515	Shielded	0.0	0.0
SC_RS26620	Shielded	2.0	0.0
SC_RS26635	Shielded	0.0	0.0
SC_RS26645	Shielded	0.0	0.0
SC_RS26650	Shielded	0.0	0.0
SC_RS26690	Shielded	0.0	0.0
SC_RS26695	Shielded	0.0	0.0
SC_RS26700	Shielded	0.0	0.0
SC_RS26760	Shielded	0.0	0.0
SC_RS26865	Shielded	0.0	0.0
SC_RS26875	Shielded	0.0	0.0
SC_RS26885	Shielded	0.0	0.0
SC_RS26925	Shielded	0.0	0.0
SC_RS26965	Shielded	0.0	0.0
SC_RS26970	Shielded	0.0	0.0
SC_RS26990	Shielded	0.0	0.0
SC_RS27010	Shielded	0.0	0.0
SC_RS27045	Shielded	0.0	0.0
SC_RS27140	Shielded	0.0	0.0
SC_RS27150	Shielded	0.0	0.0
SC_RS27250	Shielded	0.0	3.4129692832764507
SC_RS27290	Shielded	0.0	3.4129692832764507
SC_RS27330	Shielded	0.0	0.0
SC_RS27345	Shielded	0.0	0.0
SC_RS27395	Shielded	0.0	0.0
SC_RS27485	Shielded	0.0	0.0
SC_RS27500	Shielded	0.0	0.0
SC_RS27570	Shielded	0.0	0.0
SC_RS27585	Shielded	0.0	0.0
SC_RS27635	Shielded	0.0	0.0
SC_RS27640	Shielded	0.0	0.0
SC_RS27660	Shielded	0.0	0.0
SC_RS27785	Shielded	0.0	0.0
SC_RS27815	Shielded	0.0	0.0
SC_RS27820	Shielded	0.0	0.0
SC_RS27900	Shielded	0.0	0.0
SC_RS27905	Shielded	0.0	0.0
SC_RS28015	Shielded	0.0	0.0
SC_RS28115	Shielded	0.0	0.0
SC_RS28200	Shielded	0.0	0.0
SC_RS28210	Shielded	0.0	0.0
SC_RS28225	Shielded	0.0	0.0
SC_RS28260	Shielded	0.0	0.0
SC_RS28265	Shielded	0.0	0.0
SC_RS28280	Shielded	0.0	0.0
SC_RS28300	Shielded	0.0	0.0
SC_RS28335	Shielded	0.0	0.0
SC_RS28370	Shielded	0.0	0.0
SC_RS28375	Shielded	0.0	0.0
SC_RS28380	Shielded	0.0	0.0
SC_RS28395	Shielded	0.0	0.0
SC_RS28495	Shielded	0.0	0.0
SC_RS28505	Shielded	0.0	0.0
SC_RS28560	Shielded	0.0	0.0
SC_RS28585	Shielded	0.0	0.0
SC_RS28595	Shielded	0.0	0.0
SC_RS28600	Shielded	0.0	0.0
SC_RS28620	Shielded	0.0	0.0
SC_RS28665	Shielded	0.0	0.0
SC_RS28795	Shielded	0.0	0.0
SC_RS28860	Shielded	0.0	0.0
SC_RS28935	Shielded	0.0	0.0
SC_RS28965	Shielded	4.0	0.0
SC_RS29065	Shielded	0.0	0.0
SC_RS29070	Shielded	0.0	0.0
SC_RS29100	Shielded	0.0	0.0
SC_RS29195	Shielded	0.0	0.0
SC_RS29200	Shielded	0.0	0.0
SC_RS29205	Shielded	0.0	0.0
SC_RS29245	Shielded	0.0	0.0
SC_RS29260	Shielded	0.0	0.0
SC_RS29270	Shielded	0.0	0.0
SC_RS29275	Shielded	0.0	0.0
