bin	start	PC_M	FIRE_M	PC_L	FIRE_L	center	core	m_n_T1	m_fq_T1	m_n_T2	m_fq_T2	methyl_bin
70	350000.0	-0.227442178351254	0.411518181818182	-0.06601761	0.682709090909091	352500.0	0	0.0	0.0	0.0	0.0	0
71	355000.0	-0.0327143411929155	0.4033	-0.05809764	0.671518181818182	357500.0	0	0.0	0.0	1.0	74.24	0
72	360000.0	0.119624804238466	0.401009090909091	-0.15235913	0.675309090909091	362500.0	0	1.0	94.66	2.0	156.97	1
73	365000.0	0.0414696540168878	0.402636363636364	-0.033791902	0.686036363636364	367500.0	0	0.0	0.0	0.0	0.0	0
74	370000.0	0.211872976845284	0.408545454545454	-0.001586891	0.706918181818182	372500.0	0	1.0	93.27	1.0	89.52	1
75	375000.0	0.109742035885015	0.4079	-0.057143561	0.713081818181818	377500.0	0	0.0	0.0	1.0	86.19	0
76	380000.0	0.202419862131889	0.412909090909091	-0.417037628	0.719827272727273	382500.0	0	1.0	92.86	2.0	178.89	1
77	385000.0	0.267612051381778	0.414445454545455	0.087343454	0.705863636363636	387500.0	0	0.0	0.0	0.0	0.0	0
78	390000.0	0.36431956501459	0.408981818181818	0.355085382	0.693090909090909	392500.0	0	0.0	0.0	2.0	146.3	0
79	395000.0	0.635803486856834	0.418372727272727	0.409303356	0.703681818181818	397500.0	0	0.0	0.0	1.0	73.52	0
80	400000.0	0.631532523449241	0.4196	0.316043762	0.705372727272727	402500.0	0	0.0	0.0	0.0	0.0	0
81	405000.0	0.633528524927505	0.430263636363636	0.169051738	0.718072727272727	407500.0	0	1.0	100.0	1.0	95.24	1
82	410000.0	0.615073002348831	0.445054545454545	0.308798488	0.722354545454546	412500.0	0	0.0	0.0	1.0	70.4	0
83	415000.0	0.465748671218065	0.447736363636364	0.553781795	0.721954545454546	417500.0	0	1.0	97.44	2.0	163.44	1
84	420000.0	0.522345227271207	0.449	0.492665612	0.721409090909091	422500.0	0	0.0	0.0	0.0	0.0	0
85	425000.0	0.531670441190078	0.444081818181818	0.32572761	0.704036363636364	427500.0	0	1.0	98.67	3.0	260.06	1
86	430000.0	0.824566163135632	0.463081818181818	0.084121972	0.695009090909091	432500.0	0	0.0	0.0	0.0	0.0	0
