bin_center,6mA_T1,4mC_T1,6mA_T2,4mC_T2,6mA_T3,4mC_T3
530.0,0.16701719658542621,0.18557466287269578,0.19794630706420885,0.2536187059260176,0.21650377335147838,0.14845973029815662
550.0,0.20413212915996537,0.24743288383026105,0.22268959544723493,0.3154769268835828,0.23506123963874798,0.1917604849684523
570.0,0.19794630706420885,0.2598045280217741,0.18557466287269578,0.32166274897933933,0.2721761722132871,0.20413212915996537
590.0,0.19794630706420885,0.24743288383026105,0.22887541754299146,0.32166274897933933,0.22268959544723493,0.24124706173450453
610.0,0.2103179512557219,0.21650377335147838,0.3092911047878263,0.32166274897933933,0.33403439317085243,0.1917604849684523
630.0,0.23506123963874798,0.19794630706420885,0.3092911047878263,0.2536187059260176,0.35877768155387846,0.19794630706420885
650.0,0.20413212915996537,0.22887541754299146,0.2598045280217741,0.2659903501175306,0.22887541754299146,0.22268959544723493
670.0,0.16701719658542621,0.1917604849684523,0.19794630706420885,0.23506123963874798,0.20413212915996537,0.16701719658542621
690.0,0.22887541754299146,0.2845478164048002,0.2721761722132871,0.34640603736236547,0.2783619943090437,0.22887541754299146
710.0,0.22268959544723493,0.2598045280217741,0.19794630706420885,0.2845478164048002,0.22268959544723493,0.17938884077693923
730.0,0.21650377335147838,0.2536187059260176,0.24124706173450453,0.2845478164048002,0.30310528269206977,0.1917604849684523
750.0,0.30310528269206977,0.17938884077693923,0.3092911047878263,0.2598045280217741,0.29691946059631324,0.16701719658542621
770.0,0.1917604849684523,0.2536187059260176,0.24743288383026105,0.33403439317085243,0.2536187059260176,0.24124706173450453
790.0,0.2536187059260176,0.22887541754299146,0.2536187059260176,0.2845478164048002,0.2659903501175306,0.21650377335147838
810.0,0.20413212915996537,0.29691946059631324,0.2103179512557219,0.33403439317085243,0.2721761722132871,0.22268959544723493
830.0,0.18557466287269578,0.17938884077693923,0.21650377335147838,0.22887541754299146,0.2845478164048002,0.16701719658542621
850.0,0.22268959544723493,0.22268959544723493,0.22887541754299146,0.29691946059631324,0.2783619943090437,0.22268959544723493
870.0,0.24743288383026105,0.2659903501175306,0.2598045280217741,0.352591859458122,0.2536187059260176,0.22268959544723493
890.0,0.21650377335147838,0.12371644191513052,0.24124706173450453,0.1917604849684523,0.24124706173450453,0.14845973029815662
910.0,0.1917604849684523,0.20413212915996537,0.17320301868118274,0.2845478164048002,0.21650377335147838,0.15464555239391314
930.0,0.2783619943090437,0.11753061981937399,0.2598045280217741,0.1917604849684523,0.29691946059631324,0.12371644191513052
950.0,0.2721761722132871,0.2598045280217741,0.2721761722132871,0.30310528269206977,0.23506123963874798,0.22887541754299146
970.0,0.29691946059631324,0.33403439317085243,0.2907336385005567,0.42682172460720025,0.32166274897933933,0.29691946059631324
990.0,0.22268959544723493,0.2845478164048002,0.23506123963874798,0.2907336385005567,0.2783619943090437,0.24743288383026105
